,Series_Title,Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Gross,Drama,Crime,Action,Biography,Western,Comedy,Adventure,Animation,Horror,Mystery,Film-Noir,Fantasy,Family,Thriller,Romance,Sci-Fi,War,Music,Musical,Sport,History
127,The Kid,1921,Passed,68 min,8.3,,Charles Chaplin,"5,450,000",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,Chhichhore,2019,UA,143 min,8.2,,Nitesh Tiwari,"898,575",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Uri: The Surgical Strike,2018,UA,138 min,8.2,,Aditya Dhar,"4,186,168",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,K.G.F: Chapter 1,2018,UA,156 min,8.2,,Prashanth Neel,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Green Book,2018,UA,130 min,8.2,69.0,Peter Farrelly,"85,080,171",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"Three Billboards Outside Ebbing, Missouri",2017,A,115 min,8.2,88.0,Martin McDonagh,"54,513,740",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Talvar,2015,UA,132 min,8.2,,Meghna Gulzar,"342,370",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,Baahubali 2: The Conclusion,2017,UA,167 min,8.2,,S.S. Rajamouli,"20,186,659",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Klaus,2019,PG,96 min,8.2,65.0,Sergio Pablos,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Drishyam,2015,UA,163 min,8.2,,Nishikant Kamat,"739,478",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,Queen,2013,UA,146 min,8.2,,Vikas Bahl,"1,429,534",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Mandariinid,2013,,87 min,8.2,73.0,Zaza Urushadze,"144,501",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
139,Bhaag Milkha Bhaag,2013,U,186 min,8.2,,Rakeysh Omprakash Mehra,"1,626,289",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,Gangs of Wasseypur,2012,A,321 min,8.2,89.0,Anurag Kashyap,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Udaan,2010,UA,134 min,8.2,,Vikramaditya Motwane,"7,461",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Paan Singh Tomar,2012,UA,135 min,8.2,,Tigmanshu Dhulia,"39,567",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
